,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 50s,75,Oh Boy! - Overdubbed Version,Buddy Holly,47,0.543,0.619,9,-7.518,1,0.0377,0.777,0.0,0.109,0.846,96.842,127680,0
All Out 50s,76,Walkin' After Midnight,Patsy Cline,48,0.562,0.194,0,-15.364,1,0.0448,0.795,0.0,0.322,0.773,135.903,154027,0
All Out 50s,77,Jailhouse Rock,Elvis Presley,67,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,146480,0
All Out 50s,78,Why Do Fools Fall In Love,Frankie Lymon & The Teenagers,0,0.43,0.558,1,-6.549,1,0.0844,0.534,0.000507,0.0914,0.779,172.756,140827,0
All Out 50s,79,Blue Skies,Ella Fitzgerald,0,0.464,0.391,0,-5.115,1,0.0483,0.892,0.0,0.0521,0.649,158.894,226213,1
All Out 50s,80,Wild One,Jerry Lee Lewis,45,0.67,0.878,0,-12.43,1,0.0491,0.745,0.000602,0.326,0.973,97.598,114320,0
All Out 50s,81,Just A Gigolo - Remastered,Louis Prima,53,0.525,0.403,8,-11.987,1,0.0945,0.597,0.0,0.0565,0.718,125.187,283200,1
All Out 50s,82,Autumn in New York - 2003 Remastered Version,Billie Holiday,45,0.544,0.132,7,-11.735,0,0.0477,0.963,8.59e-05,0.101,0.286,71.178,221413,0
All Out 50s,83,Rebel Rouser,Duane Eddy,50,0.388,0.434,7,-11.997,1,0.0354,0.789,0.954,0.728,0.873,206.313,153533,0
All Out 50s,84,"Hallelujah, I Love Her So",Ray Charles,61,0.696,0.547,5,-5.954,0,0.169,0.792,0.0,0.155,0.623,73.203,155507,0
All Out 50s,85,At The Hop,Danny & The Juniors,0,0.405,0.864,8,-7.642,1,0.0486,0.662,2.12e-05,0.18,0.888,194.875,149973,0
All Out 50s,86,Magic Moments,Perry Como,0,0.714,0.253,0,-15.16,0,0.0433,0.922,4.91e-06,0.173,0.695,104.302,161855,0
All Out 50s,87,Love & Marriage,Frank Sinatra,0,0.69,0.244,10,-10.011,1,0.0364,0.919,0.0,0.218,0.598,110.977,155747,0
All Out 50s,88,It's All In The Game,Tommy Edwards,0,0.546,0.167,3,-16.085,1,0.0308,0.845,0.0181,0.127,0.628,70.564,158053,0
All Out 50s,89,Stupid Cupid,Connie Francis,0,0.609,0.749,3,-6.147,1,0.0363,0.831,1.45e-06,0.039,0.967,135.702,134211,0
All Out 50s,90,Blue Moon,Billie Holiday,63,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,207827,0
All Out 50s,91,Long Tall Sally (The Thing),Little Richard,62,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694,127427,0
All Out 50s,92,Little Bitty Pretty One,Thurston Harris,54,0.703,0.883,8,1.085,1,0.241,0.777,2.02e-06,0.0562,0.887,88.351,143067,0
All Out 50s,93,Rock And Roll Music,Chuck Berry,0,0.524,0.785,8,-6.118,1,0.0467,0.44,0.00125,0.0565,0.914,165.799,151773,0
All Out 50s,94,Yakety Yak,The Coasters,58,0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.976,120.789,113040,0
All Out 50s,95,Somethin' Else,Eddie Cochran,39,0.625,0.791,2,-10.428,1,0.0711,0.198,0.000144,0.0645,0.967,157.413,125907,0
All Out 50s,96,"See You Later, Alligator",Bill Haley & His Comets,45,0.664,0.702,10,-11.841,0,0.0671,0.313,2.06e-06,0.369,0.737,156.987,165360,0
All Out 50s,97,Love Letters In The Sand - Single Version,Pat Boone,55,0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728,134560,0
All Out 50s,98,On The Street Where You Live,Vic Damone,38,0.291,0.312,10,-10.289,1,0.0363,0.871,0.0,0.142,0.201,115.077,158685,0
All Out 50s,99,Come Fly With Me - Remastered,Frank Sinatra,66,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,199093,0
All Out 60s,0,Good Vibrations - Remastered 2001,The Beach Boys,63,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912,217747,0
All Out 60s,1,Here Comes The Sun - Remastered,The Beatles,0,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,0
All Out 60s,2,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,60,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603,222747,1
